"A1","U0","L1","A2","Y"
0,0,1,1,1.96953002849322
1,0,1,1,1.68620730014014
0,0,0,1,1.86750213613325
0,0,0,1,1.96523451564065
0,0,1,0,2.72733058018169
0,0,1,1,1.90205853215589
1,1,1,1,0.479428479673496
0,0,1,1,1.96329067828068
1,0,1,1,1.36517299825853
1,0,0,1,1.37499374460511
0,1,1,1,0.539708016538639
0,1,1,0,1.24232330869137
0,0,0,1,1.85460887237655
0,0,1,1,1.73379019412876
1,1,0,0,0.785063905605007
0,1,1,1,0.835888585501578
0,0,1,0,2.46029773635455
0,0,1,1,1.60672301848164
0,0,0,1,1.68929382497492
1,1,0,0,0.947521618384831
1,0,1,0,2.00782503644268
1,1,0,1,0.462517062810406
1,0,0,1,1.56126219814608
1,1,1,1,0.426551724006769
0,0,0,0,2.38560409972351
0,0,1,1,1.80469633915127
1,1,1,1,0.282560051500689
1,1,1,1,0.417319645969026
1,0,0,1,1.55578377896035
0,0,1,0,2.39930484571189
1,0,0,1,1.69551697460598
1,1,1,1,0.290587470805302
1,0,1,0,2.03628088025234
1,1,0,1,0.276041837240611
0,1,1,1,0.472925250698427
0,1,1,1,0.647478951398835
0,0,1,1,1.97419135975116
1,1,0,1,0.419124266670995
1,1,1,0,0.928500441953353
1,0,1,1,1.6972966393659
1,0,1,1,1.60070190270151
1,1,1,1,0.634118785594147
1,1,0,1,0.584314890382382
1,1,0,1,0.517135007924801
1,1,1,0,0.930943238364242
1,0,0,1,1.53531043227911
0,1,0,1,0.504783545990452
1,1,0,0,0.992345654302124
1,0,0,0,2.08146981132706
1,0,1,1,1.53590742471652
0,0,1,0,2.49272695387806
1,0,1,1,1.15176373179502
0,0,0,0,2.56709437415063
1,0,0,1,1.61670308553795
1,0,0,1,1.72449482146211
1,0,1,1,1.19937535874973
1,0,1,1,1.45427153587593
0,0,1,1,1.81205557948108
0,0,0,0,2.64468645598265
0,0,0,1,1.74317733585271
1,0,1,0,2.03368077058205
0,1,0,0,1.59147609354635
1,1,0,0,1.04263821263707
1,1,1,1,-0.149252638999979
1,0,1,0,1.99186549074898
0,0,0,0,2.55587785654476
1,0,1,1,1.6342262878842
1,0,1,1,1.28302155312448
1,0,0,1,1.67629044964143
1,1,1,1,0.260245583537436
1,0,1,1,1.72830018852593
0,0,1,0,2.44097043328878
1,0,0,1,1.55121303722622
0,1,1,0,2.08128804762489
0,1,1,0,1.50637681112061
0,1,0,0,1.32895330968564
1,1,0,1,0.600842304084282
0,1,1,1,0.957858794268697
1,1,0,0,1.48315402316347
0,0,1,1,2.0491086936323
1,0,0,0,1.84726241415466
1,0,0,1,1.51068638044161
0,1,1,1,0.836751977627183
1,1,1,1,0.445835894834181
0,0,0,0,2.2016507165941
1,0,1,0,1.52898780700889
1,1,1,0,1.12926545218011
1,0,0,0,2.08272215503453
0,0,0,0,2.67126931609532
1,1,1,0,0.695280986534803
0,1,0,1,0.748878562953162
0,0,0,0,2.23660841813653
