A,Z,X,Gender,Y,Time
1,1.039807209,0.084756347,1,13.22484427,0
1,-0.228391172,0.226460339,0,3.163643293,0
1,0.573245588,0.432556498,1,10.72353463,0
1,0.73131372,0.558065236,1,8.827919264,0
1,-0.567473866,0.059755267,0,1.714710052,0
0,-0.771619163,-0.114640867,1,-3.548508416,0
0,0.276690022,-1.020578346,1,-0.239147294,0
0,-0.398243447,-0.297051302,1,-1.080493509,0
1,1.22714483,0.168150027,1,12.34713625,0
1,-2.316904021,1.419872325,0,-4.882903545,0
1,0.786482645,-0.09952507,0,9.957605098,0
0,0.268946378,-0.818296968,1,0.326944841,0
0,-0.302797769,-0.469302241,0,-3.698373959,0
1,0.633550118,0.575044973,1,11.16904902,0
0,1.298845074,-1.871745128,0,2.328340451,0
0,-1.076362296,-0.6318311,0,-4.436404271,0
1,0.349007074,-0.042438196,0,7.082394605,0
1,-2.323529204,1.442106931,1,-2.055351477,0
0,-1.022263563,-0.92089342,1,-3.886945275,0
0,-0.136036139,-0.0156086,0,-0.894233326,0
1,-1.777698665,0.219466475,0,-2.731784702,0
1,-0.199920933,0.500598176,0,4.754928739,0
1,-0.475567989,1.66934898,1,5.92592668,0
0,-0.375485971,-1.003542438,1,-1.542374294,0
1,1.246828038,0.394182209,1,12.12316091,0
0,-1.612631284,-1.497072605,1,-6.473149522,0
1,-0.915927035,1.239256323,0,-0.324469163,0
0,-0.020710109,0.037622196,0,-0.345041317,0
0,0.167080352,-1.039616915,0,-1.188633718,0
0,-0.957798937,0.153667507,1,-2.826938813,0
0,3.785883085,-1.047638273,1,12.36673513,0
1,0.388922307,0.700781273,1,9.951597049,0
1,0.89948282,0.757811704,1,11.22567397,0
0,-0.329299922,-0.778062618,0,-2.116354515,0
0,1.067227353,-1.313211946,1,1.955598825,0
0,-0.983818881,-0.371271607,1,-4.088224362,0
1,0.382841108,-0.084693485,0,6.831682282,0
0,0.633469682,-0.258678895,0,3.077036244,0
0,0.027341418,0.217857308,0,-0.420353057,0
1,-0.1545393,0.369889964,1,7.434490953,0
1,-0.781379074,0.903432834,0,2.678206007,0
1,2.565851664,0.396813542,0,16.66333563,0
0,0.941794624,-0.145084662,1,2.462580514,0
1,0.372922935,-0.102095871,1,8.214066979,0
0,2.584951194,-0.328037066,1,4.447632631,0
0,-0.58683565,-0.064234222,1,-0.891722166,0
0,-1.957285474,-1.864793394,0,-7.50423899,0
1,0.599920576,0.277426831,0,8.556271694,0
0,0.956476683,-0.503910051,0,2.623989586,0
0,-0.194994361,-0.130196703,1,-0.649520439,0
1,-0.962711851,0.486313788,0,1.960891651,0
0,-0.776192308,-1.21042199,0,-2.209971186,0
0,-0.008632385,-0.869916634,1,0.135468354,0
1,-1.009110106,0.348822154,1,1.313653211,0
1,1.858874811,0.004925276,0,14.21233426,0
1,1.460246134,1.308466491,0,14.60771413,0
0,-0.132126962,-0.947441235,0,-1.768476847,0
1,-0.970165048,-0.01338431,1,3.948386399,0
1,-0.382471855,1.199380195,0,4.074441333,0
1,-1.41092792,-0.092845598,0,-1.990186145,0
0,0.598717674,0.313927341,1,2.081790973,0
0,-2.716810836,-0.486552347,1,-8.701274638,0
1,1.362245006,3.087977579,0,13.97759679,0
1,0.762907682,0.032251729,1,10.53715893,0
0,0.135169118,-1.23619261,0,-1.192735258,0
0,0.105517893,0.028762393,0,1.166338962,0
1,0.11029092,0.467895162,1,10.15007303,0
1,-0.571291508,0.166503444,0,1.644742997,0
1,-0.033374036,0.310006487,0,5.75220007,0
0,0.946620931,-0.674028084,1,2.049445615,0
1,0.350411389,0.046725437,1,8.373079462,0
1,0.111924268,0.09220628,0,4.453350333,0
1,-0.481821098,0.83836256,0,4.753535099,0
1,-0.577601959,1.822268658,0,2.169567959,0
0,0.80687292,0.0593511,0,3.254766305,0
1,0.633324957,0.882074004,1,11.86826166,0
1,1.972526451,1.291425453,1,18.70188651,0
0,1.451769948,0.006582804,0,3.478476116,0
1,-1.038599856,1.368433049,1,3.432063819,0
1,-0.407797182,1.530598456,0,5.29663743,0
0,0.782686356,-0.190356108,0,1.955740228,0
0,-0.56060689,-1.889075271,1,-3.079670898,0
0,-0.147292951,-0.792307494,1,1.2989563,0
0,1.215860714,-1.358097243,1,2.493887871,0
0,0.222904872,-1.021634263,0,-0.619551977,0
1,0.208420736,1.374308592,1,9.641212456,0
0,-0.346884115,-0.932476063,0,-2.152664971,0
1,-0.530503227,-0.020369468,0,0.635528801,0
0,0.580811905,-1.908354824,1,-1.095691769,0
1,0.776311788,0.825974159,0,9.817866019,0
0,-0.317737362,-0.333253222,1,-3.503563396,0
1,-0.186582325,0.938356748,0,4.712542785,0
1,-0.580853824,0.353056418,0,0.994939112,0
0,-1.213772189,-1.351768989,1,-5.160653289,0
0,0.621632947,-0.606790978,0,0.921046124,0
1,0.687837542,0.761448807,0,7.902474703,0
1,0.536058293,2.306173074,0,10.11066953,0
1,-1.049085601,0.205851401,1,3.139992974,0
1,0.396720019,0.099104196,0,8.272685932,0
1,1.150628953,0.263480536,1,13.02202775,0
1,-0.909286046,0.379405002,1,2.634682156,0
0,-0.417579543,0.222162967,0,-1.41700116,0
1,0.853261603,0.911175366,0,11.48153461,0
0,1.080150289,-1.193793767,0,0.591373745,0
0,-0.120098785,-0.669907358,0,-0.965834875,0
0,-0.380768958,-1.178975252,1,-0.772937999,0
0,0.342340421,-2.230564066,1,-1.239656508,0
1,0.628903108,-0.098236479,1,9.970551906,0
1,2.625920385,0.775967075,1,20.35234477,0
1,-2.400352806,-0.081431918,1,-5.990006301,0
0,0.487311067,-1.477333181,0,-0.064838848,0
1,-1.360029394,0.378114006,1,1.544739878,0
0,3.189543433,-1.602612776,1,9.72172201,0
1,1.400230762,-0.539333611,1,13.84926216,0
1,0.700101007,-0.603369205,1,8.84660555,0
0,0.463440686,0.014317764,0,0.971737353,0
1,0.396152257,0.022181651,1,8.071729015,0
0,-0.397263844,-0.715392634,0,-2.361267098,0
1,0.123311277,-0.162994788,0,6.305642712,0
0,-0.128040714,-0.399398902,0,-0.815825578,0
0,-2.091288163,-0.581860706,1,-7.455830976,0
1,-0.682999484,0.235314465,0,1.305040269,0
0,1.44011566,1.033665967,1,5.764661471,0
0,-0.334965301,0.437646073,1,-0.959420665,0
1,0.312275021,1.392956022,1,10.37491628,0
0,0.800361381,-0.889909336,1,3.196399586,0
1,-0.039495385,1.399492931,1,8.658593643,0
0,-0.649407766,0.260548195,0,-2.478566786,0
1,0.160747876,-0.955997028,1,5.957022865,0
1,-0.335668498,0.773842253,0,3.244482902,0
1,-0.162642514,1.394140195,0,5.375801569,0
0,-1.348251658,-0.211567275,0,-5.60775093,0
0,0.76551181,-0.534705992,1,2.200686749,0
1,0.462977962,0.652764244,0,7.583087548,0
1,-1.047218347,0.459474001,0,0.046858429,0
1,-0.9654271,1.295866313,1,3.408735691,0
0,1.158539119,-0.775667558,1,0.950117375,0
0,-1.482998687,-1.638600097,1,-6.936335395,0
1,1.094639993,0.41655697,1,12.90705358,0
1,0.464259987,0.098896483,1,9.079818503,0
1,-0.145110048,1.052808523,1,5.390948272,0
1,1.528451426,0.237610273,0,13.35918047,0
0,-0.848094222,-0.684803171,0,-2.537011622,0
0,-0.954827632,-0.749497437,0,-3.082334724,0
1,1.214532487,-1.029140887,0,8.908029255,0
1,0.808397145,0.256099596,1,12.11823273,0
1,1.340243645,0.281303942,0,11.94543164,0
1,-0.096800855,1.355172698,1,8.488533159,0
0,-0.133608413,0.379513339,0,0.557645281,0
1,0.340772342,1.100456394,1,11.93290562,0
1,-0.108451074,0.26535167,1,7.023224496,0
0,-1.575052299,-0.659788133,0,-4.071284542,0
0,-0.217416137,-0.406158396,0,0.29879049,0
1,1.09554437,-0.046975664,1,12.68287694,0
1,-0.112726659,0.619678769,1,7.445543815,0
1,-0.953020061,0.760974847,0,0.838371924,0
1,-1.228679723,0.424105039,0,-2.5942992,0
0,-0.584158572,0.067898292,0,-1.810485287,0
0,0.745989813,-0.823980906,1,1.976860947,0
1,-1.15699765,-0.081046633,0,-0.312625723,0
1,-0.616257246,0.829143156,0,3.958867446,0
1,0.465616821,0.379725566,1,9.010083781,0
1,-1.122943508,1.084028325,1,2.479209447,0
0,-1.117682437,-0.142489487,1,-4.098768093,0
0,0.978270508,-1.688337701,0,0.534048325,0
0,1.801436747,1.115158405,1,6.35227473,0
0,-0.57384009,-0.045194395,1,-3.746945579,0
1,-0.047622713,0.739805401,1,7.005717667,0
1,-0.714229769,1.267449171,1,6.206906286,0
0,0.705774782,-0.783625592,0,1.042261038,0
0,-0.785766864,-0.88055194,1,-3.467952378,0
0,-0.23224261,0.014445498,0,0.136706398,0
0,0.370251698,-0.763199552,1,0.986993901,0
0,-0.910856109,-0.535947262,0,-4.060542768,0
0,-0.533629238,-0.353324213,1,-1.756926926,0
0,-1.336486984,-0.063893175,1,-4.884062881,0
1,0.383032455,0.719643201,1,10.9385458,0
0,0.682070289,-1.001770744,1,-0.361215668,0
0,-0.730913365,-0.463107382,0,-4.611652418,0
0,0.940877292,0.575431091,1,4.193305695,0
1,0.026861312,0.334613548,1,7.564597538,0
1,-0.046732941,0.623843966,1,7.428090357,0
0,0.538684862,-0.374690391,1,0.939607079,0
0,-0.42656695,-1.700895681,0,-2.099667639,0
0,0.603196664,0.70926034,1,3.890872965,0
0,1.677823303,0.369175672,0,5.42640594,0
1,0.385600714,0.016278544,1,8.603585258,0
1,-0.436182523,-0.02500954,1,3.869367021,0
0,-2.008950937,-0.31340178,1,-7.745084524,0
0,-0.237509112,-0.595423965,0,-0.981792602,0
0,-0.302514448,-0.557906055,1,-2.425333766,0
1,1.771174974,0.773281441,1,15.44197709,0
0,0.397678674,-1.239332561,0,-0.116097745,0
1,-0.183034183,-0.344848693,0,4.77251033,0
1,0.554460659,-0.117354948,1,9.646364829,0
1,-1.328613427,1.769722513,1,1.906484979,0
0,-0.132139484,-0.720035972,1,-0.532791582,0
0,1.053491012,-1.755807739,1,0.943973234,0
0,-0.019212458,-1.000331546,1,-2.216049868,0
1,-1.318132082,1.735784529,1,1.717752926,0
