A1,X,M,L1,A2,Y,Time1,Time2
1,0.084756347,1,1.032243999,0,2.005643092,0,0
0,0.226460339,1,1.918440038,0,-2.371703214,0,0
1,0.432556498,0,-1.810305286,1,5.641202501,0,0
1,0.558065236,0,-0.279836004,1,1.790961103,0,0
0,0.059755267,1,0.561884399,0,3.251139199,0,0
0,-0.114640867,1,-2.50497441,1,5.726765871,0,0
0,-1.020578346,1,-1.578012883,1,5.415660813,0,0
1,-0.297051302,0,-1.753539705,1,3.027183894,0,0
1,0.168150027,0,-0.84281201,1,3.52603146,0,0
1,1.419872325,1,1.371171658,1,0.83509592,0,0
1,-0.09952507,0,-1.130893691,1,4.253095414,0,0
0,-0.818296968,0,-0.521855432,0,5.183068026,0,0
0,-0.469302241,1,2.255778732,0,0.167092553,0,0
1,0.575044973,0,-1.45442325,1,4.613960179,0,0
1,-1.871745128,0,-3.202181457,0,-5.652845186,0,0
1,-0.6318311,1,-0.817705062,0,3.783258554,0,0
0,-0.042438196,1,0.763943333,1,3.190019407,0,0
0,1.442106931,0,1.201278392,1,1.447485968,0,0
1,-0.92089342,0,-1.808902205,0,3.740937247,0,0
0,-0.0156086,0,-2.731597509,1,0.205363489,0,0
0,0.219466475,1,-0.371701444,0,3.033327921,0,0
1,0.500598176,0,1.752641043,1,-1.354945218,0,0
1,1.66934898,1,1.024313822,1,4.647764423,0,0
1,-1.003542438,1,-1.563610334,0,2.834391385,0,0
0,0.394182209,0,-0.1509117,1,5.969307658,0,0
1,-1.497072605,0,-3.350489288,1,-0.004839626,0,0
0,1.239256323,1,2.466278191,0,-3.635651029,0,0
1,0.037622196,1,-1.033919888,1,4.28314619,0,0
0,-1.039616915,1,-0.883271124,0,2.321664272,0,0
1,0.153667507,1,-0.923651334,1,4.268485825,0,0
1,-1.047638273,0,0.21495962,1,3.828580632,0,0
1,0.700781273,0,-0.696402073,1,2.008568865,0,0
0,0.757811704,1,0.670628438,0,3.757343681,0,0
1,-0.778062618,1,-0.044300385,1,5.173204847,0,0
1,-1.313211946,0,-2.609340111,0,-1.052363374,0,0
1,-0.371271607,0,-0.235421529,0,3.560007988,0,0
1,-0.084693485,0,-1.136613597,1,0.845058279,0,0
0,-0.258678895,0,-0.28040281,1,3.504298598,0,0
1,0.217857308,0,1.028584873,1,2.448021574,0,0
1,0.369889964,1,0.677922244,1,4.081743357,0,0
1,0.903432834,0,-1.137026006,0,-0.528422156,0,0
0,0.396813542,0,1.654129305,1,1.568353077,0,0
1,-0.145084662,0,-1.253324467,0,4.566650679,0,0
1,-0.102095871,1,-0.875314813,1,7.07243001,0,0
0,-0.328037066,0,-0.215932835,1,2.898321257,0,0
0,-0.064234222,1,1.909823434,1,2.48304584,0,0
1,-1.864793394,0,-3.150628195,0,-3.350010882,0,0
1,0.277426831,1,-2.574032105,1,3.083120296,0,0
0,-0.503910051,1,-0.261281036,1,7.75092762,0,0
1,-0.130196703,0,-1.575084866,1,7.851367556,0,0
0,0.486313788,0,0.638170403,1,4.55482453,0,0
0,-1.21042199,0,-1.491130997,0,4.894980323,0,0
1,-0.869916634,0,-2.752240441,1,2.391807588,0,0
1,0.348822154,0,0.171740939,1,4.803025621,0,0
1,0.004925276,0,-0.599059039,1,5.519183995,0,0
0,1.308466491,1,1.479645016,1,2.416000374,0,0
1,-0.947441235,0,-0.972576716,1,0.776660001,0,0
1,-0.01338431,0,-0.638386769,1,4.479033376,0,0
1,1.199380195,0,1.416575558,1,2.202482959,0,0
0,-0.092845598,0,-0.876397189,1,6.21514348,0,0
1,0.313927341,1,0.877913594,0,5.273375168,0,0
0,-0.486552347,0,-0.136091603,1,3.722118898,0,0
1,3.087977579,1,2.238629088,1,-1.330291963,0,0
1,0.032251729,1,-0.044330448,0,3.33590267,0,0
0,-1.23619261,1,1.962918414,1,-0.840818113,0,0
0,0.028762393,1,0.041075809,1,6.022849136,0,0
0,0.467895162,0,0.939521462,1,-0.782683864,0,0
1,0.166503444,0,-1.994289348,1,1.525151004,0,0
1,0.310006487,1,0.421571774,0,6.921917387,0,0
1,-0.674028084,1,-0.221406356,0,4.08951015,0,0
1,0.046725437,0,0.215190671,1,3.778302612,0,0
1,0.09220628,0,-1.451039795,1,5.483500768,0,0
0,0.83836256,1,0.592959773,1,6.73431565,0,0
0,1.822268658,0,1.267001076,0,-1.456347162,0,0
1,0.0593511,1,-1.36580569,0,4.394950508,0,0
1,0.882074004,1,0.78766995,1,2.870488593,0,0
0,1.291425453,0,-0.179730321,1,7.754907985,0,0
0,0.006582804,0,0.092458036,1,2.087681891,0,0
0,1.368433049,0,-0.545618073,0,-0.663690889,0,0
0,1.530598456,0,1.374241789,1,3.327703173,0,0
1,-0.190356108,0,-1.376006369,0,3.173967703,0,0
1,-1.889075271,0,-1.790507529,0,2.160412509,0,0
0,-0.792307494,1,-0.970412451,1,5.825197891,0,0
1,-1.358097243,0,-0.037123551,0,5.297603175,0,0
1,-1.021634263,1,-0.142476533,0,7.366222235,0,0
0,1.374308592,0,1.446648527,0,-0.491919765,0,0
1,-0.932476063,1,0.374950278,1,4.7030683,0,0
0,-0.020369468,0,1.112161789,1,0.801512717,0,0
0,-1.908354824,1,-0.372854816,1,3.824174234,0,0
0,0.825974159,0,-0.576512131,1,5.896463294,0,0
0,-0.333253222,0,0.43256865,0,0.460546978,0,0
1,0.938356748,0,0.556387569,1,1.259686863,0,0
0,0.353056418,0,1.76127385,0,-2.002961834,0,0
1,-1.351768989,1,-1.180178005,1,7.752417763,0,0
1,-0.606790978,1,-0.816550267,0,4.63262889,0,0
1,0.761448807,0,-0.050014127,1,4.107171913,0,0
0,2.306173074,1,0.54919406,1,6.716517509,0,0
0,0.205851401,1,1.265065193,0,0.213160737,0,0
0,0.099104196,0,0.344710165,0,0.220302843,0,0
0,0.263480536,1,1.634228697,0,-1.159674518,0,0
1,0.379405002,0,-0.819122948,0,4.108985715,0,0
0,0.222162967,1,-1.263124618,1,1.855329787,0,0
1,0.911175366,0,-0.827240018,0,3.120518168,0,0
0,-1.193793767,1,1.942085971,0,2.171083107,0,0
1,-0.669907358,0,-3.319361855,0,-4.544605913,0,0
1,-1.178975252,1,-2.424382169,1,2.257405931,0,0
0,-2.230564066,0,-1.376889554,1,4.689912918,0,0
1,-0.098236479,1,-0.958479056,1,2.417300123,0,0
0,0.775967075,1,0.774635618,1,6.026085208,0,0
0,-0.081431918,0,0.961434538,1,1.475330299,0,0
1,-1.477333181,1,-1.773629651,0,6.267073885,0,0
0,0.378114006,1,1.0174516,0,4.732347871,0,0
1,-1.602612776,0,-1.912116791,1,1.311414616,0,0
1,-0.539333611,1,-1.121099103,0,3.242493774,0,0
1,-0.603369205,0,-2.255365176,0,-0.161255519,0,0
0,0.014317764,0,0.897499383,1,6.624493158,0,0
0,0.022181651,0,-0.237510648,1,6.111202995,0,0
1,-0.715392634,0,-2.121644995,1,-1.594954826,0,0
1,-0.162994788,0,-2.188352398,1,1.966905707,0,0
0,-0.399398902,1,0.905217006,0,1.664784958,0,0
1,-0.581860706,1,-2.552517824,1,0.582618198,0,0
1,0.235314465,0,-0.755940851,0,2.661077863,0,0
0,1.033665967,0,1.630701658,1,2.549130506,0,0
1,0.437646073,0,-0.951456724,1,4.344360644,0,0
1,1.392956022,1,1.507554639,1,3.010089038,0,0
1,-0.889909336,1,-2.098630097,1,5.933572869,0,0
1,1.399492931,1,1.293232687,1,2.270880031,0,0
1,0.260548195,1,-1.908364576,1,1.922383243,0,0
0,-0.955997028,0,-1.161919398,1,7.908831351,0,0
1,0.773842253,0,0.132384108,1,3.899944191,0,0
0,1.394140195,0,1.70853828,0,-1.595644829,0,0
1,-0.211567275,1,0.145469413,0,3.094327108,0,0
1,-0.534705992,0,-0.874393816,0,1.314671404,0,0
1,0.652764244,0,-1.494671146,0,0.617890538,0,0
1,0.459474001,0,-0.16960923,1,8.680097072,0,0
