A1,U0,L1,A2,Y,Time
0,0,1,1,1.969530028,0
1,0,1,1,1.6862073,0
0,0,0,1,1.867502136,0
0,0,0,1,1.965234516,0
0,0,1,0,2.72733058,0
0,0,1,1,1.902058532,0
1,1,1,1,0.47942848,0
0,0,1,1,1.963290678,0
1,0,1,1,1.365172998,0
1,0,0,1,1.374993745,0
0,1,1,1,0.539708017,0
0,1,1,0,1.242323309,0
0,0,0,1,1.854608872,0
0,0,1,1,1.733790194,0
1,1,0,0,0.785063906,0
0,1,1,1,0.835888586,0
0,0,1,0,2.460297736,0
0,0,1,1,1.606723018,0
0,0,0,1,1.689293825,0
1,1,0,0,0.947521618,0
1,0,1,0,2.007825036,0
1,1,0,1,0.462517063,0
1,0,0,1,1.561262198,0
1,1,1,1,0.426551724,0
0,0,0,0,2.3856041,0
0,0,1,1,1.804696339,0
1,1,1,1,0.282560052,0
1,1,1,1,0.417319646,0
1,0,0,1,1.555783779,0
0,0,1,0,2.399304846,0
1,0,0,1,1.695516975,0
1,1,1,1,0.290587471,0
1,0,1,0,2.03628088,0
1,1,0,1,0.276041837,0
0,1,1,1,0.472925251,0
0,1,1,1,0.647478951,0
0,0,1,1,1.97419136,0
1,1,0,1,0.419124267,0
1,1,1,0,0.928500442,0
1,0,1,1,1.697296639,0
1,0,1,1,1.600701903,0
1,1,1,1,0.634118786,0
1,1,0,1,0.58431489,0
1,1,0,1,0.517135008,0
1,1,1,0,0.930943238,0
1,0,0,1,1.535310432,0
0,1,0,1,0.504783546,0
1,1,0,0,0.992345654,0
1,0,0,0,2.081469811,0
1,0,1,1,1.535907425,0
0,0,1,0,2.492726954,0
1,0,1,1,1.151763732,0
0,0,0,0,2.567094374,0
1,0,0,1,1.616703086,0
1,0,0,1,1.724494821,0
1,0,1,1,1.199375359,0
1,0,1,1,1.454271536,0
0,0,1,1,1.812055579,0
0,0,0,0,2.644686456,0
0,0,0,1,1.743177336,0
1,0,1,0,2.033680771,0
0,1,0,0,1.591476094,0
1,1,0,0,1.042638213,0
1,1,1,1,-0.149252639,0
1,0,1,0,1.991865491,0
0,0,0,0,2.555877857,0
1,0,1,1,1.634226288,0
1,0,1,1,1.283021553,0
1,0,0,1,1.67629045,0
1,1,1,1,0.260245584,0
1,0,1,1,1.728300189,0
0,0,1,0,2.440970433,0
1,0,0,1,1.551213037,0
0,1,1,0,2.081288048,0
0,1,1,0,1.506376811,0
0,1,0,0,1.32895331,0
1,1,0,1,0.600842304,0
0,1,1,1,0.957858794,0
1,1,0,0,1.483154023,0
0,0,1,1,2.049108694,0
1,0,0,0,1.847262414,0
1,0,0,1,1.51068638,0
0,1,1,1,0.836751978,0
1,1,1,1,0.445835895,0
0,0,0,0,2.201650717,0
1,0,1,0,1.528987807,0
1,1,1,0,1.129265452,0
1,0,0,0,2.082722155,0
0,0,0,0,2.671269316,0
1,1,1,0,0.695280987,0
0,1,0,1,0.748878563,0
0,0,0,0,2.236608418,0
1,0,0,0,1.998274566,0
1,0,1,0,1.993835524,0
1,1,1,1,0.113231761,0
1,0,0,1,1.582744324,0
1,0,0,0,1.6697113,0
0,0,1,1,1.856940867,0
0,0,1,0,2.542831062,0
0,1,0,1,0.887492565,0
0,0,1,1,1.78665089,0
1,0,0,1,1.166520969,0
0,0,0,0,2.650947464,0
0,0,0,1,1.927769734,0
0,0,1,0,2.361214561,0
1,1,1,1,0.078004011,0
0,1,1,1,0.819262282,0
1,1,0,0,1.493535358,0
1,0,1,0,2.06673947,0
0,0,1,1,1.553798494,0
1,1,1,0,0.508226108,0
0,1,1,1,0.288018775,0
1,0,1,1,1.669427005,0
1,0,0,1,1.51143015,0
1,1,0,1,0.211189651,0
0,0,0,1,1.991963032,0
0,1,0,1,1.031658008,0
0,1,0,0,1.687106964,0
1,0,0,1,1.554875187,0
0,1,1,1,0.587578239,0
1,0,0,1,1.246741269,0
1,0,0,0,1.703669266,0
0,0,0,0,2.79245153,0
0,0,1,1,2.044465933,0
0,0,1,1,1.953214578,0
1,0,1,0,1.742194035,0
0,1,1,0,1.392160022,0
1,1,1,0,0.90252413,0
0,0,0,1,1.518212763,0
0,0,0,1,1.812973269,0
1,0,1,1,1.511907422,0
1,1,1,0,0.814049056,0
0,1,1,1,0.542049973,0
0,0,0,1,1.662377362,0
0,0,1,0,2.537589509,0
0,0,1,0,2.1067806,0
0,0,0,0,2.317892319,0
1,0,0,1,1.271179212,0
1,0,0,1,1.13980115,0
0,1,1,0,1.477962786,0
0,1,1,0,1.531243008,0
1,0,1,1,1.393744817,0
1,0,1,0,1.755215666,0
0,1,0,1,0.683319896,0
1,0,0,0,2.000378874,0
0,1,1,1,0.524076025,0
0,1,1,1,0.697070213,0
1,0,1,0,2.092592608,0
1,0,1,1,1.477662971,0
0,0,1,1,1.657780149,0
1,0,0,1,1.317493042,0
0,1,1,1,0.701998486,0
1,0,1,0,1.914858961,0
1,0,1,0,1.97153463,0
1,1,0,1,0.242309854,0
0,1,0,1,0.859027125,0
1,1,0,1,0.436183478,0
1,1,0,0,1.274169196,0
0,0,0,0,3.049483634,0
0,1,0,0,1.420882099,0
0,1,0,0,1.490963605,0
0,0,1,0,2.546278193,0
1,0,1,0,2.186496958,0
1,0,1,1,1.287920505,0
1,0,1,0,1.935987989,0
0,0,1,1,1.889887836,0
1,0,0,1,1.414318819,0
0,1,0,0,1.298065145,0
1,1,1,1,0.586414439,0
1,1,1,1,0.588096463,0
0,0,0,0,2.792009541,0
0,0,0,0,2.469729937,0
0,0,1,0,2.286172083,0
0,1,1,1,0.905812402,0
0,1,1,0,1.594501982,0
0,0,0,1,1.59347311,0
0,1,0,1,0.777311345,0
1,1,0,1,0.529952466,0
0,0,0,0,2.415584507,0
0,1,1,1,1.123159519,0
1,0,1,0,2.11034839,0
0,1,1,1,0.682782648,0
0,1,1,0,1.560435894,0
1,1,1,1,0.26961431,0
1,0,0,0,2.153011997,0
1,0,1,1,1.607462556,0
1,0,1,1,1.73837063,0
1,0,1,0,2.003819305,0
0,0,0,0,2.709083754,0
1,1,1,0,0.925269323,0
1,1,1,0,0.871390228,0
1,0,1,0,1.842241099,0
0,0,1,0,2.505498778,0
0,1,0,1,0.688732831,0
1,1,1,0,1.208363803,0
1,0,1,1,1.366638875,0
1,0,1,0,2.003743095,0
0,0,1,0,2.495374717,0
0,0,0,1,1.672059311,0
1,1,1,1,0.076201231,0
0,0,0,1,2.081264522,0
1,1,0,0,0.895859516,0
1,1,1,0,1.121584929,0
0,1,1,1,0.836801696,0
0,0,1,0,2.359051719,0
0,1,1,1,0.77703048,0
0,1,0,1,0.386602908,0
1,1,0,1,0.483504126,0
1,0,0,1,1.504197278,0
0,0,0,1,1.863265193,0
0,0,1,1,1.651743533,0
1,1,1,1,0.54888296,0
1,0,0,0,1.625965683,0
1,0,0,1,1.702785009,0
0,0,1,1,1.617834082,0
0,1,1,1,0.708542263,0
1,1,1,0,1.116333401,0
0,1,1,1,0.685813985,0
0,0,1,1,1.531447262,0
1,0,1,1,1.18544885,0
0,0,1,0,2.915346211,0
0,0,1,1,1.789480623,0
1,1,1,0,1.066731651,0
0,1,0,1,0.850094769,0
1,0,1,0,2.294413149,0
0,1,0,1,0.348856264,0
1,0,1,0,1.943453954,0
1,0,1,1,1.5999015,0
1,0,1,1,1.656952314,0
1,0,1,0,2.223297537,0
0,0,0,0,2.195665608,0
0,0,0,0,2.458799641,0
0,1,1,0,1.421376046,0
1,1,0,1,0.587734209,0
1,0,1,1,1.255517132,0
1,0,0,1,1.31966474,0
0,0,0,1,1.996501706,0
1,1,1,0,1.17744438,0
1,1,0,0,1.037112525,0
1,1,1,0,1.103383867,0
0,0,0,1,1.802359054,0
1,1,0,0,1.057285553,0
1,1,1,1,0.340300042,0
1,1,1,0,1.133761821,0
1,0,1,0,1.746952864,0
1,1,1,1,0.328292302,0
1,1,0,1,0.697534923,0
0,0,1,1,1.422160215,0
0,0,1,1,1.725978039,0
1,0,1,0,1.886256849,0
0,0,1,0,2.203370147,0
1,1,1,1,0.744311398,0
1,0,0,0,2.031276284,0
0,0,1,0,2.523182752,0
1,1,1,1,0.545721719,0
0,1,0,0,1.798751628,0
0,0,0,0,2.734406161,0
0,0,0,0,2.819624426,0
0,1,0,1,0.309630938,0
1,1,1,1,0.048630599,0
0,0,0,1,1.730250035,0
1,1,1,0,1.083133234,0
1,0,0,1,1.462018815,0
0,1,1,1,0.547693688,0
0,1,1,1,0.553676524,0
1,1,1,1,0.651006567,0
0,0,0,1,2.013266473,0
1,0,1,0,1.855952561,0
0,1,0,1,0.69602656,0
1,1,0,1,0.804009239,0
1,1,0,1,0.576018037,0
0,1,0,0,1.307637357,0
0,0,1,0,2.433249595,0
1,0,1,0,2.079365076,0
0,1,0,0,1.285458093,0
1,1,1,1,0.613569223,0
1,0,0,1,1.376951261,0
0,0,1,0,2.496432185,0
0,1,1,0,1.610737365,0
0,0,1,0,2.209449458,0
0,0,1,0,2.782295576,0
0,0,1,1,2.021488092,0
1,0,1,0,1.873439388,0
0,0,1,1,1.379740447,0
1,0,1,1,1.336708917,0
1,1,1,0,0.732355136,0
0,1,0,0,1.492807274,0
0,1,0,1,0.83159461,0
0,0,1,0,2.76447009,0
1,0,1,1,1.77918249,0
1,0,1,1,1.063314674,0
0,1,0,0,1.637277599,0
0,0,1,1,2.09100114,0
0,1,0,1,0.820454091,0
0,0,1,0,2.57871792,0
0,0,1,1,1.838352575,0
0,1,1,0,1.282879418,0
1,1,1,0,0.820388129,0
0,0,1,0,2.673502489,0
1,0,1,1,1.253630717,0
0,1,0,1,0.936951286,0
0,1,0,1,0.608945288,0
0,1,1,1,0.651225619,0
1,1,1,0,0.896506875,0
1,0,1,1,1.360607391,0
0,1,0,1,0.526277351,0
0,0,1,1,1.657958357,0
1,1,0,1,0.207346605,0
0,0,1,0,2.525386599,0
1,1,1,1,0.655273517,0
1,0,1,0,1.886220832,0
1,1,0,1,0.835618301,0
0,0,0,1,1.752462173,0
1,0,1,1,1.442273206,0
0,0,0,0,2.84753762,0
0,1,1,1,0.816426945,0
1,1,0,1,0.705018508,0
0,1,0,0,1.72428026,0
1,0,1,1,1.468451382,0
0,1,0,0,1.62287744,0
1,0,1,1,1.29195782,0
0,0,0,1,1.488334938,0
1,0,1,1,1.394776619,0
1,1,1,1,0.630897992,0
1,0,1,0,1.872917944,0
1,1,0,1,0.545211994,0
0,1,0,1,0.871263055,0
0,0,1,0,2.464604836,0
0,0,1,0,2.486307625,0
1,1,1,1,0.448832532,0
0,0,1,1,2.152105687,0
1,0,0,1,1.749805937,0
1,0,0,0,2.024058314,0
1,0,0,1,1.511614958,0
0,0,0,1,1.812457041,0
0,0,0,1,1.463047618,0
0,0,0,1,1.63173217,0
1,0,1,1,1.586894883,0
0,1,0,1,0.697119908,0
1,1,1,1,0.488117852,0
1,1,1,1,0.305693282,0
1,0,1,1,1.428035908,0
1,0,1,1,1.552568472,0
0,0,0,1,1.645504051,0
0,0,0,1,1.692958761,0
1,0,1,1,1.320885536,0
1,1,1,0,1.279768243,0
0,1,0,1,0.832781726,0
1,0,0,0,1.808701637,0
0,1,1,1,0.590242884,0
1,0,0,1,1.481648056,0
0,0,1,1,1.876062817,0
0,1,1,1,0.524516035,0
0,0,0,1,1.617224797,0
0,0,0,1,1.691919024,0
1,0,0,1,1.251574784,0
1,1,0,1,0.119423063,0
0,0,1,0,2.30881026,0
0,1,0,0,1.898050148,0
1,0,0,1,1.323277663,0
1,0,0,1,1.850930381,0
0,0,1,0,2.139199382,0
0,1,1,1,0.499571365,0
1,0,0,0,2.029814069,0
1,0,1,1,1.411811657,0
0,1,0,0,1.774988875,0
0,0,0,1,1.804069028,0
1,0,1,1,1.49381691,0
1,1,1,1,0.505385616,0
0,1,1,1,0.663865331,0
1,1,1,1,0.549998657,0
1,0,1,1,1.824187824,0
0,0,0,0,2.329375668,0
1,0,1,1,1.282829783,0
1,0,1,1,1.414338738,0
1,0,0,1,1.544461819,0
1,0,0,1,1.258404715,0
0,0,0,1,1.528637771,0
0,0,1,1,1.530617407,0
1,1,1,1,0.506501441,0
0,0,0,0,2.235141836,0
1,0,1,0,2.384530154,0
1,0,1,0,2.083622658,0
1,0,1,1,1.671307456,0
1,1,1,1,0.693952465,0
0,0,1,0,2.509304273,0
0,0,0,0,2.556734084,0
1,0,1,1,1.412767785,0
1,1,0,1,0.197388466,0
1,1,0,1,0.403008071,0
1,0,1,1,1.557054702,0
1,0,0,1,1.595541264,0
0,1,0,0,1.410387515,0
