A,X,Y,Time
0,-0.502192351,0,0
1,0.131531165,4.11296645,0
1,-0.07891709,3.875971824,0
1,0.886784809,5.235497156,0
0,0.116971271,0.499653924,0
1,0.318630088,6.350529798,0
0,-0.581790685,0,0
1,0.714532711,6.091724445,0
0,-0.825259426,0,0
0,-0.359862131,0.160357272,0
1,0.089886144,5.949039305,0
0,0.09627446,0,0
1,-0.201633952,4.306405531,0
0,0.7398405,0.528886182,0
1,0.123379501,4.659702892,0
0,-0.029316709,0.270162858,0
1,-0.388854247,4.005671926,0
1,0.510856257,5.071844123,0
0,-0.913814185,0,0
1,2.310296823,8.091101853,0
0,-0.438089981,0,0
1,0.764060616,6.655254653,0
0,0.261961291,0.515884134,0
0,0.773404597,0.70758817,0
0,-0.814379125,0,0
0,-0.438450569,2.039249945,0
0,-0.72022155,0,0
0,0.230944532,1.557142615,0
0,-1.157729462,0,0
1,0.247075993,5.109681579,0
0,-0.091113561,0,0
1,1.757375622,7.957738727,0
0,-0.137929612,0.161160496,0
1,-0.111193495,5.345033387,0
0,-0.690014321,0,0
0,-0.22179423,0,0
0,0.182907684,0,0
0,0.417323286,0,0
1,1.065402327,3.669172644,0
1,0.970202017,4.385927084,0
1,-0.101629238,6.657118995,0
1,1.403203489,4.0403167,0
0,-1.776775632,0,0
1,0.622867391,6.188805256,0
0,-0.522283351,0,0
1,1.322230956,7.345344248,0
0,-0.363440327,0,0
1,1.319065743,6.366802417,0
0,0.043779068,1.436656065,0
0,-1.878655882,0,0
0,-0.447062182,0,0
0,-1.738597947,0,0
0,0.178864849,0.108138365,0
1,1.8974657,6.476637506,0
0,-2.271925486,0,0
1,0.980464139,5.553337654,0
0,-1.398825616,0,0
1,1.824872423,6.528685253,0
1,1.38129873,6.96395834,0
0,-0.838851875,0,0
0,-0.261995775,0,0
0,-0.068844028,3.235307083,0
0,-0.378883557,0.477893985,0
1,2.581958928,8.742975373,0
1,0.129834137,5.408771023,0
0,-0.71302498,0,0
1,0.637994243,2.961615356,0
1,0.201691592,5.323006046,0
1,-0.069916948,4.42953981,0
1,-0.092489875,6.287188036,0
1,0.448903273,5.042916615,0
0,-1.064355671,0.331576274,0
0,-1.162419322,0,0
1,1.648521747,7.385135899,0
0,-2.062096019,0,0
0,0.012749721,0,0
0,-1.087528349,0,0
1,0.270539493,5.726800355,0
1,1.008451873,4.482254665,0
0,-2.074404754,0,0
1,0.896822272,5.556811665,0
0,-0.049995767,0.003685032,0
0,-1.34534931,0,0
0,-1.931211534,0,0
1,0.709581583,4.514567535,0
0,-0.157905032,0.861830884,0
1,0.216367873,4.737923651,0
0,0.817362076,0.157870026,0
1,1.727175755,7.406055407,0
1,-0.103770292,4.79087438,0
0,-0.557122291,0,0
1,1.42830143,7.769740062,0
0,-0.892957402,0.092999799,0
0,-1.15757124,0,0
1,-0.530296455,3.894844972,0
1,2.445682758,8.42767412,0
0,-0.832495798,0,0
1,0.413519849,4.293872917,0
0,-1.178683141,0,0
0,-1.174034758,0,0
1,-0.332923351,3.382248004,0
1,1.363113707,6.221331974,0
0,-0.46914734,0.969637432,0
1,0.842875632,4.802818091,0
0,-1.457993723,0,0
0,-0.40030592,0.694467868,0
0,-0.776417285,0,0
1,-0.369296511,3.584126691,0
1,1.240101459,7.07351141,0
0,-0.107433808,0.501168643,0
1,0.172593506,6.256650837,0
1,0.254601268,5.427311687,0
1,-0.614533829,5.901658162,0
0,-1.429215096,0,0
0,-0.330975435,0,0
1,0.128386063,4.770669516,0
1,1.018119992,6.345164374,0
0,-0.255573692,0,0
0,-0.302541011,0,0
1,1.615190683,5.682999454,0
0,-0.773713355,0,0
1,0.424002402,6.240838686,0
0,-0.583946981,0,0
1,0.415035679,5.987365718,0
0,-1.545261657,0,0
0,-0.518749505,0.594822231,0
0,-0.279791554,0,0
0,1.007457382,0,0
0,-0.469569954,0.184101475,0
1,0.297897038,5.111240622,0
0,-0.417794433,0.22156235,0
0,-0.850380776,0,0
1,0.689046194,6.691282044,0
0,-0.460196195,0,0
1,1.348184378,6.599221384,0
1,0.443071384,6.018106825,0
0,-0.150926188,0,0
1,0.455548857,6.312832357,0
0,-0.040154681,1.064727726,0
0,0.456121044,0,0
0,-0.408425029,0,0
0,-2.136493856,0,0
0,0.156821916,1.87431395,0
0,0.660048901,0,0
0,-0.981834413,0.104411715,0
0,-1.113643704,0.19224125,0
0,-0.437347677,0,0
0,-0.516111247,0,0
1,0.418995991,5.276892658,0
0,0.134155437,0.530168397,0
1,1.034686455,4.095247079,0
1,1.653503226,3.332721021,0
1,-0.017946817,5.924135074,0
0,-0.024203321,0.012948074,0
1,0.2502469,4.991691887,0
0,-0.337124536,0.007269605,0
0,-0.113353705,0.036001525,0
1,-0.098882915,5.841580819,0
1,0.264086823,3.046184904,0
1,0.138983686,3.34542493,0
0,-0.242269499,1.449837391,0
1,0.059031382,3.386535235,0
0,-0.177271868,0,0
1,0.794680268,5.768045411,0
0,0.006737787,0.072542209,0
0,-0.629790293,0,0
0,-0.252489783,0,0
0,-0.690422163,0,0
0,0.202542145,0,0
0,0.846381438,0.777161902,0
1,0.632074062,6.966017903,0
1,0.201413525,4.433671462,0
0,-0.091070644,0.462124025,0
1,0.289484125,3.580826225,0
0,-0.054684939,0,0
0,-2.041849854,0.02191438,0
0,0.358369241,0.782097501,0
1,-0.372600852,5.635954876,0
1,1.268308841,7.629450636,0
1,2.168600317,7.062645454,0
0,-1.239722842,0,0
1,0.589873888,6.709771607,0
1,0.124019289,5.363182158,0
0,-0.523707786,0,0
1,0.620228003,5.128472294,0
0,0.708221584,1.092411209,0
0,-0.093198351,0,0
0,-0.295196701,0,0
0,-1.085815231,0,0
0,-0.624815056,0,0
0,-0.233006543,1.00321502,0
1,-0.250816864,4.57085624,0
1,0.953895336,7.190364916,0
0,-0.265972507,0,0
1,1.895275947,6.401085746,0
0,-0.429990827,0,0
1,1.575546994,6.615605043,0
1,0.1619412,4.600797716,0
0,-1.085452907,0,0
1,0.576937301,4.88015849,0
