imputation,A,X,Time
1,0,-0.502192351,0
1,1,-0.388854247,0
1,1,-0.07891709,0
1,1,0.886784809,0
1,0,0.116971271,0
1,1,1.727175755,0
1,0,-0.581790685,0
1,1,0.415035679,0
1,0,-0.359862131,0
1,0,-0.359862131,0
1,1,2.168600317,0
1,0,0.09627446,0
1,1,0.264086823,0
1,0,-0.502192351,0
1,1,0.842875632,0
1,0,-0.029316709,0
1,1,-0.388854247,0
1,1,0.510856257,0
1,0,0.182907684,0
1,1,2.310296823,0
1,0,-0.150926188,0
1,1,0.794680268,0
1,0,0.261961291,0
1,0,0.773404597,0
1,0,-0.814379125,0
1,0,-0.814379125,0
1,0,-0.72022155,0
1,0,-0.137929612,0
1,0,-1.157729462,0
1,1,0.247075993,0
1,0,-0.429990827,0
1,1,0.842875632,0
1,0,-0.137929612,0
1,1,-0.111193495,0
1,0,-0.690014321,0
1,0,-0.22179423,0
1,0,0.182907684,0
1,0,-1.15757124,0
1,1,0.622867391,0
1,1,0.970202017,0
1,1,-0.101629238,0
1,1,0.424002402,0
1,0,-1.738597947,0
1,1,0.622867391,0
1,0,-0.024203321,0
1,1,1.322230956,0
1,0,-0.363440327,0
1,1,1.895275947,0
1,0,0.116971271,0
1,0,-1.878655882,0
1,0,-0.029316709,0
1,0,-1.738597947,0
1,0,-0.255573692,0
1,1,0.415035679,0
1,0,-1.178683141,0
1,1,0.980464139,0
1,0,-0.049995767,0
1,1,0.842875632,0
1,1,1.38129873,0
1,0,-0.838851875,0
1,0,-0.261995775,0
1,0,-0.068844028,0
1,0,-0.068844028,0
1,1,1.008451873,0
1,1,-0.332923351,0
1,0,-0.71302498,0
1,1,0.970202017,0
1,1,0.201691592,0
1,1,0.201691592,0
1,1,1.322230956,0
1,1,0.448903273,0
1,0,-1.064355671,0
1,0,-1.162419322,0
1,1,1.648521747,0
1,0,-2.062096019,0
1,0,0.012749721,0
1,0,-1.087528349,0
1,1,0.980464139,0
1,1,1.008451873,0
1,0,-2.074404754,0
1,1,0.794680268,0
1,0,-0.049995767,0
1,0,-1.34534931,0
1,0,0.773404597,0
1,1,0.172593506,0
1,0,-1.178683141,0
1,1,1.38129873,0
1,0,-0.330975435,0
1,1,1.727175755,0
1,1,0.418995991,0
1,0,-1.085452907,0
1,1,-0.388854247,0
1,0,-0.892957402,0
1,0,-1.15757124,0
1,1,1.38129873,0
1,1,0.970202017,0
1,0,-0.838851875,0
1,1,0.413519849,0
1,0,-1.178683141,0
1,0,-2.062096019,0
1,1,-0.332923351,0
1,1,0.128386063,0
1,0,-0.261995775,0
1,1,0.842875632,0
1,0,-1.457993723,0
1,0,-0.40030592,0
1,0,-0.776417285,0
1,1,-0.111193495,0
1,1,0.886784809,0
1,0,-0.107433808,0
1,1,0.172593506,0
1,1,-0.101629238,0
1,1,1.895275947,0
1,0,-0.137929612,0
1,0,-0.330975435,0
1,1,0.128386063,0
1,1,0.953895336,0
1,0,-0.255573692,0
1,0,-0.302541011,0
1,1,-0.372600852,0
1,0,-0.773713355,0
1,1,0.424002402,0
1,0,0.202542145,0
1,1,0.415035679,0
1,0,-0.814379125,0
1,0,-0.518749505,0
1,0,-0.252489783,0
1,0,-0.113353705,0
1,0,-0.892957402,0
1,1,0.264086823,0
1,0,-0.417794433,0
1,0,-0.850380776,0
1,1,0.689046194,0
1,0,-0.093198351,0
1,1,0.415035679,0
1,1,0.424002402,0
1,0,-0.150926188,0
1,1,1.648521747,0
1,0,-0.773713355,0
1,0,0.182907684,0
